name	threads	cpuset	wall_s	ex_per_s	speedup	efficiency	val_nll
t01	1	all	11.55	2770	1.00	1.00	0.015511
t02	2	all	6.94	4614	1.67	0.83	0.015388
t04	4	all	4.33	7396	2.67	0.67	0.015453
t08	8	all	2.69	11899	4.30	0.54	0.015533
t16	16	all	1.84	17431	6.29	0.39	0.015415
t24	24	all	1.69	18984	6.85	0.29	0.015426
t32	32	all	1.97	16266	5.87	0.18	0.015421
p08	8	0,2,4,6,8,10,12,14	3.62	8838	3.19	0.40	0.015533
e16	16	16-31	2.15	14879	5.37	0.34	0.015415
p16	16	0-15	2.58	12410	4.48	0.28	0.015415
phys24	24	0,2,4,6,8,10,12,14,16-31	1.77	18071	6.52	0.27	0.015426
all32	32	0-31	1.99	16119	5.82	0.18	0.015421
